JobTitle,TotalPay_x,TotalPay_y,inflation
chief electrical inspector,123080.71,135343.88,9.96351905997
chief fire alarm dispatcher,112798.37,97970.86,-13.1451456258
chief housing inspector,119337.33,108731.63,-8.88716045516
chief nursery specialist,84800.16,27803.37,-67.2130689376
chief of police,267992.59,326716.76,21.9126095986
chief plumbing inspector,127938.44,139324.61,8.89972552424
chief preparator,17516.11,35520.885,102.789803215
chief stationary engineer,107053.650667,113061.070625,5.61159747559
chief surveyor,80678.625,109087.318889,35.2121691326
chief telephone operator,47507.15,65742.03,38.3834433343
chief water service inspector,130436.726667,140587.523333,7.78216145565
child care specialist,33599.5183333,29983.35,-10.7625600387
child support officer ii,63523.6140678,69252.3907407,9.01834185132
child support officer iii,69034.3735294,70039.0988889,1.45539867766
citizens complaint officer,53461.2781818,64698.285,21.018964006
city attorney,208243.12,231523.83,11.1795818272
city planning intern,8417.76,8957.25375,6.40899419798
claims adjuster,81920.698,88125.3528571,7.57397703953
claims investigator,101526.57,109531.031667,7.88410528068
claims process clerk,48119.58,61795.03,28.4197202054
clerk,28968.2777169,37832.4639925,30.5996316463
clerk typist,43427.3716296,47844.9526415,10.1723425713
clinical nurse specialist,128317.825185,159469.716364,24.2771346331
clinical pharmacist,131120.173939,126067.885,-3.85317437249
clinical psychologist,60619.6076923,62632.3476,3.32027867602
collections officer,36709.5833333,44365.08,20.8542183581
construction inspector,89041.6146667,90972.1661194,2.16814515321
cook,42446.8085294,48296.2409375,13.7806176972
"counselor, juvenile hall",35530.5385417,52299.5934483,47.196174319
"counselor, log cabin ranch",45051.4414286,63231.2525,40.3534504001
court clerk,76467.0,52601.13,-31.2106791165
crafts instructor,31213.5111111,37957.96,21.6074662824
crane mechanic supervisor,106963.49,127057.87,18.7862045264
criminalist i,22197.16,77569.5866667,249.457257895
criminalist ii,69390.415,109763.195,58.182070247
criminalist iii,109614.175,109782.663333,0.153710351178
custodial assistant supervisor,47279.9486275,54978.5243548,16.2829612783
custodial supervisor,54584.1209091,68417.9044444,25.3439705631
custodian,40521.5527764,48750.9445025,20.3086781287
customer service agent trainee,25552.49,17098.0614286,-33.0865155272
dental aide,46657.7322222,51916.9052632,11.271814532
dental hygienist,49050.196,73191.995,49.2185576588
dentist,49523.1057895,63389.6607143,28.0001722504
deputy probation officer,68457.1697794,82458.2527731,20.4523252112
deputy sheriff,94820.1284526,115208.985624,21.5026677396
diagnostic imaging tech i,69344.998,69239.6095122,-0.151977057963
diagnostic imaging tech ii,113854.367857,118704.543437,4.25998200301
diagnostic imaging tech iii,103278.799,126861.297778,22.833823598
diagnostic imaging tech iv,90237.6383333,84066.523,-6.83873763466
dietetic technician,50062.684,58223.98,16.3021543152
dietitian,57202.6668421,56092.8630435,-1.94012597645
"director, juvenile hall",119203.65,117688.8,-1.27080840226
"director, probation services",108645.16,124344.96,14.4505286752
disability access coordinator,137926.07,143421.78,3.98453316331
disease control investigator,52012.4877778,68364.99875,31.4395862818
district attorney,123989.095,248767.06,100.636241437
document examiner technician,62225.613,71631.32,15.1154911081
elections clerk,25582.6,31909.253,24.7302971551
elections worker,54609.5371429,57161.405,4.67293441889
electric motor repairer,108514.006667,113282.755,4.39459244002
electrical inspector,97570.51,97758.9480769,0.193130154719
electrical line helper,69073.4283333,41866.0616667,-39.3890491947
electrical line worker,100532.469091,93637.9094444,-6.8580426889
electrician,82166.9011494,87042.9209091,5.93428703219
electrician supervisor ii,117254.0,117979.0625,0.61836909615
elevator and crane technician,101144.75,82896.91,-18.04131208
eligibility worker,47265.8379545,47135.7445736,-0.275237648441
eligibility worker supervisor,69737.925614,85828.3851471,23.0727532994
employee assistance counselor,79901.03,90185.06,12.870960487
engineer,113374.461321,127495.543077,12.4552580816
environmental assistant,48031.134,54783.1643478,14.0576117729
environmental health inspector,80140.3157143,99541.7836364,24.2093729594
environmental service worker,25090.3923529,37823.6906667,50.7496978708
estate investigator,68324.3765,75695.7479167,10.7887869517
executive contract employee,277438.84,278544.71,0.398599561619
fare collections receiver,58310.5986667,65432.5262791,12.2137789274
farmer,50728.44,63978.0,26.1186032924
"feasibility analyst, port",89376.05,101669.08,13.7542775721
fire alarm dispatcher,21728.595,34507.66875,58.8122414266
fire protection engineer,126801.865,138023.915,8.85006699231
fire rescue paramedic,80945.1842857,135192.206667,67.0169854571
firefighter,139292.045945,138998.251043,-0.210920084953
food service supervisor,60966.9766667,56508.27125,-7.31331232159
food service worker,35431.8119745,34194.5265789,-3.49201840556
forensic autopsy technician,65076.265,51859.635,-20.3094476919
forensic laboratory technician,71141.28,80692.895,13.4262625019
forester,70459.2366667,91520.27,29.8910892733
fusion welder,92096.5966667,75030.7725,-18.5303526779
gardener,54788.0440956,56815.3007744,3.70018078271
general laborer,49444.0927851,56514.7062319,14.3002187895
general utility mechanic,67046.6971429,62851.9083333,-6.25651820042
glazier,60580.4627273,85440.26125,41.0359997325
graphic artist,36802.25125,43437.82125,18.0303372066
head park patrol officer,80047.1533333,132262.42,65.2306353097
health care analyst,57745.7261538,60094.9083333,4.06814899726
health educator,76588.2775,87101.935,13.7275022277
health program planner,66163.5116667,65098.766,-1.60926413947
hodcarrier,63287.8916667,71469.05,12.9268934671
home health aide,28066.2854902,39323.3534783,40.1088629701
hospital eligibility worker,62566.8838095,13510.4535714,-78.4063825001
housing inspector,89713.5165,98194.2315789,9.45310741325
human resources director,196377.99,217132.04,10.5684196075
human services technician,50705.8751351,56320.8427778,11.0736036557
illustrator and art designer,69124.36,60324.092,-12.7310661538
incident support specialist,180944.903333,174378.0525,-3.62919911662
industrial hygienist,92610.0391667,87739.0121429,-5.25971813384
industrial injury investigator,31378.145,68457.15,118.168250545
"inspector, (police department)",159498.985,173918.21,9.04032398701
institution utility worker,34115.448,45324.5025,32.8562430134
institutional police officer,72766.9838462,82020.88,12.7171632858
institutional police sergeant,126972.07,143619.05,13.1107415985
inventory clerk,54021.14,55162.77,2.11330231091
"investigator, tax collector",66058.6088889,85890.901,30.0222672634
is business analyst,79774.8874468,83199.3314286,4.29263404984
is programmer analyst,59999.8375,69217.5253846,15.3628547488
is project director,115868.263043,134411.54625,16.0037638603
janitorial services supervisor,64198.805,82020.41,27.7600260628
junior administrative analyst,40050.3773333,44901.3672093,12.1122201561
junior clerk,4054.68754717,7634.89882096,88.2980804844
junior clerk typist,44204.635,42143.48,-4.66275764974
junior engineer,56951.265614,60030.253,5.40635463105
junior management assistant,39229.7385,52247.2633333,33.182797875
landscape architect,129142.996667,130699.98,1.20562738478
law librarian,136292.0,149921.21,10.0000073372
legal assistant,57735.6306897,57261.6759375,-0.820905126512
legal process clerk,32697.6223529,48587.2838889,48.5957705561
legislative assistant,52014.976,78924.4528205,51.7340944664
library assistant,40829.9980198,45481.7883871,11.3930702741
library page,16998.3227273,24979.6827155,46.9538090099
licensed vocational nurse,59748.9807732,59841.2532911,0.154433626732
line inspector,109846.805,133369.185,21.4138044343
locksmith,68697.6184615,80332.389,16.9362065222
maintenance controller,105014.808,121713.8525,15.9016093235
maintenance machinist,88084.3508696,91510.8186667,3.88998472859
maintenance manager,77377.475,116215.76,50.1932700699
maintenance planner,91661.2347826,104775.147407,14.3069342846
management assistant,61599.840303,62313.6766667,1.15882826989
manager i,95847.4250806,103714.275703,8.20768071324
manager ii,101316.536525,111231.057361,9.78568867008
manager iii,104891.634,119237.185714,13.6765451802
manager iv,116501.993148,126170.680265,8.2991602599
manager v,120633.920238,134221.798652,11.2637294608
manager vi,145775.222121,151092.111343,3.64732026795
manager vii,169076.494,170834.1116,1.03953989015
manager viii,166872.929231,191923.243077,15.0116103083
marina assistant manager,42467.0614286,3835.55,-90.9681765797
marine engineer of fire boats,159959.4525,170450.635,6.55865116818
materials coordinator,81553.62,87652.635,7.47853375485
materials testing aide,40646.215,62903.05,54.7574601965
materials testing technician,54130.636,68474.8685714,26.4992869683
mayor,134205.71,281537.17,109.780321568
mayoral staff ii,35398.8,30900.135,-12.7085240178
mayoral staff iv,44526.45,34158.0166667,-23.2860094019
mayoral staff ix,48212.25,50360.67125,4.45617296434
mayoral staff v,13223.8,36777.07,178.112721003
mayoral staff vii,40318.8675,66659.51,65.3308094529
mayoral staff x,51637.1533333,3479.0,-93.2626030379
mayoral staff xi,12196.8,73964.58375,506.426142513
mayoral staff xiii,84594.698,108867.91,28.6935382168
mayoral staff xiv,84929.835,94470.71,11.2338320215
mayoral staff xv,94944.9066667,108708.064286,14.4959409643
mayoral staff xvi,70857.4275,116552.42,64.4886416459
mayoral staff xvii,108425.393333,172735.33,59.3126155134
media training specialist,83904.73,91603.2,9.17525150251
medical evaluations assistant,44540.9221818,48748.2847887,9.44606083758
medical records clerk,46647.0407692,52930.345098,13.4698883899
medical records technician,60798.3392105,64356.6306522,5.85261289675
medical social work supervisor,93148.9966667,89983.61,-3.39819727527
medical social worker,61419.3078723,72768.198381,18.4777245165
medical transcriber typist,57654.862,67151.6425,16.4717773498
"member, board of supervisors",72235.116,108827.839091,50.657803458
metalsmith,68670.4,71759.02,4.49774575363
meter reader,46567.3042857,51476.73875,10.542664085
microbiologist,57326.1514286,69835.0183333,21.820524478
microphoto/imaging technician,34778.45,44355.938,27.5385705803
morgue attendant,12140.526,14299.854,17.7861156922
museum guard,29352.4513023,32612.3913333,11.106193474
museum preparator,25896.0023077,21492.8122222,-17.003358407
museum registrar,57028.56,66618.885,16.8167055244
nurse manager,165335.915,172556.490233,4.36721521308
nurse midwife,34403.6261111,41171.8117647,19.6728845725
nurse practitioner,89429.9253623,98712.3386726,10.3795382504
nursery specialist,68709.708,75561.6175,9.97225821422
nurses staffing assistant,37454.3642857,49952.7659091,33.3696803076
nursing assistant,69006.4161417,73820.4044853,6.97614600601
nursing supervisor,100084.372955,106488.884898,6.39911282286
nursing supervisor psychiatric,216598.635,231393.956667,6.83075480446
nutritionist,60877.0126087,61644.124,1.26010025531
occupational therapist,52420.8394231,69850.7347917,33.2499356371
offset machine operator,55058.248,62513.1083333,13.5399519675
"operating engineer, universal",75273.7542,94614.1595455,25.6934246883
ornamental iron worker,76129.6677778,81657.675,7.26130480217
painter,63687.7888889,66960.7611905,5.1390892331
park patrol officer,38690.2911111,57851.3570833,49.524222801
park section supervisor,72165.7864516,73481.5966667,1.82331583947
parking control officer,54969.9042647,57017.0949057,3.72420266751
parking meter repairer,55360.7852381,66007.787,19.2320280793
parts storekeeper,57310.4380556,64814.7005,13.0940587772
patient accounts clerk,61102.1578571,56985.5894444,-6.73718990796
patient accounts manager,62341.745,80253.02,28.7307886553
patient accounts supervisor,71476.5228571,90663.432,26.8436521195
pattern maker,89427.15,94598.66,5.78293057533
payroll clerk,46820.0225758,59936.8056897,28.0153284691
payroll supervisor,49042.57,92867.7766667,89.3615621422
permit and citation clerk,49530.2795652,64962.6190476,31.1573841655
personal property auditor,59864.8138095,70535.61625,17.8248319195
personnel analyst,63557.7558824,68230.5017647,7.35196801316
personnel clerk,45564.6135294,39371.0568,-13.5929096061
personnel technician,51165.2093333,64869.985,26.7853407525
pharmacist,90711.8888,107443.740714,18.4450485329
pharmacy helper,63568.2966667,56850.278,-10.5681904643
pharmacy technician,61758.5926984,68868.7149315,11.5127659528
photographer,47886.4,40860.372,-14.6722827358
physical therapist,65355.8279167,75944.6507018,16.2018034545
physical therapist assistant,74959.162,84233.8,12.372921138
physician assistant,88399.5495,95049.039,7.52208527941
physician specialist,56395.7663971,65410.1226772,15.9841010345
pile worker,83353.2945455,79764.646875,-4.30534592547
piledriver engine operator,77739.84,96799.555,24.5173066989
pilot of fire boats,107817.462,122105.426,13.2519943755
pipe welder,90163.86125,93408.7285714,3.5988557682
planner technician,36346.9466667,50308.018,38.4105753404
plumber,89745.4674627,98599.4570769,9.86566772068
plumbing inspector,100243.64,103129.355,2.87870133207
port director,233357.28,252149.01,8.05277212693
porter,40377.6681351,44528.9023823,10.2810153208
porter assistant supervisor,41285.6575,78935.1433333,91.1926516692
power generation supervisor,99504.71,122910.444,23.5222372891
power house operator,90093.786,103923.152,15.3499665338
principal account clerk,58142.1668421,69662.689,19.8144011199
principal clerk,57972.1440952,64174.3585366,10.698611442
principal museum preparator,34401.6,76569.82,122.576333659
principal parts storekeeper,49774.115,84945.74,70.6624818945
principal personnel analyst,64632.9366667,92821.88,43.613898404
principal water services clerk,64482.1727273,74104.0341667,14.9217388814
program specialist,66832.6996923,73728.7992405,10.318451267
program specialist supervisor,75508.522,93706.465,24.1005154359
program support analyst,82576.7292308,79852.2714286,-3.29930457113
protective services supervisor,94904.6939474,108131.698462,13.9371446912
protective services worker,75870.8229327,87282.9732039,15.0415533008
psychiatric social worker,66476.7533333,75135.3365873,13.024979139
psychiatric technician,50086.8928889,64518.7448485,28.8136299283
public defender,198027.44,225118.12,13.6802657248
public defender's investigator,66779.1541667,78910.8581818,18.1669027806
public health nurse,98759.817069,110125.243279,11.5081483006
public health team leader,69982.138125,71082.4585714,1.57228755209
public information officer,70372.92,50237.8441667,-28.6119658433
public relations assistant,42244.6075,44144.2725,4.49682246426
public relations officer,83695.6826316,80038.4214286,-4.36971309393
public service trainee,8115.70743902,7645.83649798,-5.78964858676
purchaser,68770.15,69603.3281818,1.2115404457
real property appraiser,59095.8019231,73763.8311429,24.8207634764
recreation coordinator,45634.9696721,50341.5590476,10.3135586795
recreation director,4185.114,4457.47333333,6.50781157534
recreation leader,5964.88605491,7061.69134783,18.3876989907
recreation specialist,31016.0878947,37131.2195833,19.7159993528
recreation supervisor,55868.8146154,73272.5608333,31.1510926762
registered nurse,106621.140689,117023.096645,9.75599762743
regulatory specialist,88376.56,86107.1833333,-2.56784906164
rehabilitation counselor,46648.338,62022.768,32.9581516923
rent board supervisor,73636.39,78689.61,6.86239507396
research assistant,62092.895,60760.5383333,-2.14574737845
research psychologist,112330.19,112362.04,0.0283539091316
respiratory care practitioner,22277.4275,22735.2142857,2.05493558767
roofer,68091.4488889,79686.7314286,17.0289848856
safety analyst,101478.816154,96316.5063636,-5.08708121149
safety officer,90190.01625,107013.52375,18.6534033361
school crossing guard,7305.30922078,7405.75010101,1.37490251535
"secretary, health commission",76958.12,92162.16,19.7562518419
"secretary, library commission",86787.06,94063.04,8.38371526815
security analyst,96562.54,90228.324,-6.55970317268
security guard,39210.2792,43180.9889286,10.1267060821
senior account clerk,46713.2485811,54894.0600649,17.5128292986
senior administrative analyst,74136.6801571,79990.4497685,7.89591548886
senior book repairer,65274.37,73868.09,13.1655349565
senior building inspector,118042.885556,127040.33125,7.62218379541
senior claims investigator,108504.74,136437.8,25.7436311077
senior clerk,40654.3881696,44119.4567834,8.52323394793
senior clerk typist,45959.5213871,53405.7240889,16.2016541449
senior collections officer,58245.6231818,61871.82025,6.22569880807
senior deputy sheriff,109731.561739,131961.852152,20.2587934232
senior eligibility worker,63075.0994156,22756.2073077,-63.9220429004
senior estate investigator,81456.45,71183.296,-12.6118361407
senior food service supervisor,70367.08,72209.89,2.61885245203
senior food service worker,40207.615,48543.8075,20.7328698805
senior health educator,90245.09,63564.12,-29.5650101296
senior health program planner,80811.524,87798.9011111,8.6465107515
senior housing inspector,113048.702,110343.361667,-2.39307509549
senior laundry worker,55953.9975,68537.9,22.4897291744
senior legal process clerk,50279.7701961,57445.3829545,14.2514827147
senior management assistant,64320.31,76476.0604167,18.898774612
senior medical social worker,78176.072,91364.832,16.8705841347
senior microbiologist,94890.3975,105362.41,11.0359032904
senior morgue attendant,64471.01,72877.57,13.0392869601
senior museum preparator,54445.5966667,62399.54,14.6089744999
senior museum registrar,71551.24,106053.22,48.2199609678
senior occupational therapist,78793.088,113669.64,44.2634663589
senior parking control officer,70379.6757692,80900.5117647,14.9486849442
senior parts storekeeper,64179.92125,69151.1722222,7.74580410103
senior personnel analyst,81969.7086813,85245.3333913,3.99614048004
senior personnel clerk,52775.5197297,60576.3897436,14.7812282168
senior pharmacy helper,59483.8,79213.49,33.1681735195
senior physical therapist,110744.338,122202.706,10.3466851732
senior physician specialist,118240.545882,140459.994531,18.7917338195
senior plan checker,107583.02,116567.02,8.35076018502
senior plumbing inspector,119590.31,127508.296667,6.62092661744
senior power house operator,76375.9066667,82847.5383333,8.47339422746
"senior property manager, port",106685.026667,113158.096667,6.06745876366
senior psychiatric orderly,68820.26,77681.87,12.8764552764
senior purchaser,67976.3107692,85931.6984615,26.4141838372
senior real property appraiser,79170.671875,84962.7078571,7.31588585138
senior real property officer,63187.96,118032.06,86.7951742705
senior social worker,67000.4448062,18863.4481818,-71.8457866416
senior stationary engineer,98665.3321622,104932.693125,6.35214094505
senior storekeeper,48851.973,61772.77375,26.4488821158
senior street inspector,69021.245,102655.7175,48.7306082352
senior telephone operator,33177.2974286,33415.7735714,0.718793154779
senior transcriber typist,23827.04,61950.84,160.002249545
senior transit traffic checker,74796.35,80423.33,7.52306763632
senior unit clerk,57495.175,68492.15,19.1267788993
senior water service inspector,93708.56875,111834.846667,19.3432448691
senior water services clerk,53558.397907,60263.372,12.5189967494
sewer maintenance worker,59028.036,59346.4088889,0.539358769939
sewer repair supervisor,116513.676,131013.125,12.4444181128
sewer service worker,82555.7688,85800.1325806,3.92990559933
shade and drapery worker,51640.56,56192.85,8.81533817604
sheet metal worker,74609.14,86034.771,15.3139829785
shelter veterinarian,86412.115,60969.3,-29.4435739711
sheriff's cadet,29312.1201562,31494.5901282,7.4456230403
sheriff's captain,150524.3525,168094.6425,11.6727225251
sheriff's lieutenant,134639.244595,149306.237273,10.8935494419
sheriff's property keeper,10787.76,20598.4385714,90.9426847782
sheriff's sergeant,118846.507273,134333.9658,13.0314797487
sign worker,57218.585,50028.3444828,-12.5662676161
signal and systems engineer,51450.12,39644.55,-22.9456607681
social work specialist,61000.9591304,70623.4427027,15.7743152066
social work supervisor,70725.7311765,80858.2795238,14.3265374267
social worker,34005.8753659,30229.043125,-11.1064108782
soft floor coverer,21947.5057143,39170.0675,78.4716131752
special examiner,1201.26,1141.17241379,-5.00204670154
special nurse,31325.0759415,33490.3506292,6.91227274839
speech pathologist,49902.82,66530.5685714,33.3202583971
stable attendant,48485.5625,59795.3025,23.3259952383
stage electrician,17933.5654545,18361.7476471,2.38760213968
stationary engineer,73722.0595575,83979.3847619,13.9135087462
statistician,72088.99,42853.98,-40.5540568678
steamfitter,95485.67625,75339.49,-21.0986475053
storekeeper,43250.6948571,49859.7315385,15.2807641661
street inspection supervisor,95982.21,105377.5,9.78857436185
street inspector,69901.4694737,76751.4928571,9.79954131871
structural engineer,133300.08,140042.8,5.0583015404
supervising parts storekeeper,105972.13,62699.27,-40.8341891401
supervising pharmacist,154313.377143,147904.482222,-4.15316872671
supervising purchaser,99124.414,109135.27,10.0992839161
surgical procedures technician,59546.701875,61036.0594118,2.50115873737
survey assistant ii,67479.89625,76122.5207143,12.807702656
survey associate,67578.2385714,87784.7309091,29.9008863871
switch repairer,83065.425,74493.68,-10.3192694193
telephone operator,46260.81875,54324.6,17.4311252327
testing technician,2308.2942623,5130.16619048,122.249228544
tile setter,51257.1066667,37628.34,-26.5890284352
track maintenance worker,67249.4393939,69754.6028947,3.72518124073
traf signal electrician sup i,117996.26,145129.193333,22.9947401158
traf signal electrician sup ii,118989.65,138027.64,15.9997024951
traffic signal electrician,106942.857647,91358.4130435,-14.5726839047
traffic signal operator,21788.7,44890.53,106.026656019
traffic survey technician,61297.3253846,66940.7453333,9.20663326386
train controller,132175.098824,113724.382778,-13.9592980902
training officer,71808.981,70600.998,-1.68221715888
transcriber typist,49225.7,45932.3771429,-6.69025094035
transit car cleaner,71320.7626829,72399.1473118,1.51202060709
transit fare inspector,55579.4321429,59731.4823529,7.47047972605
transit information clerk,59938.5825,40589.1275,-32.2821364686
transit operations specialist,133334.855714,151599.215,13.6981130612
transit operator,61742.6363526,61318.264522,-0.687323793866
transit planner iii,86885.6975,8546.67,-90.1633177313
transit power line worker,117162.103333,133401.135,13.8603108041
transit supervisor,114900.455176,105683.0368,-8.02209039274
transit traffic checker,56437.33,68498.0,21.3700222884
treasurer,160257.08,175202.73,9.32604662459
truck driver,65671.6847802,71965.9653672,9.58446643797
undersheriff,108600.955,123550.09,13.765196632
unit clerk,49419.81725,55746.661831,12.8022419609
urban forestry inspector,37441.9533333,37333.9433333,-0.288473197534
utility analyst,64017.3116667,62204.3188889,-2.83203516452
utility plumber,84395.2153846,98087.2154386,16.2236685949
utility plumber apprentice,92194.6325,96233.535,4.38084342925
utility specialist,99764.5228846,108879.751607,9.13674366295
victim & witness technician,51311.86,5440.47,-89.3972465625
wastewater control inspector,81344.5422222,83239.635,2.32971103654
water meter repairer,71752.0333333,62954.9666667,-12.2603726445
water operations analyst,107587.205455,106234.4,-1.25740365579
water service inspector,86373.4778571,87644.2048276,1.47120042167
watershed keeper,63108.5559091,67837.735,7.49372097457
watershed keeper supervisor,70496.9966667,87553.83,24.1951205581
watershed worker (seasonal),7488.97566667,10246.7585185,36.8245668647
welder,86182.77,98686.1766667,14.5080120617
welfare fraud investigator,61835.2716667,81570.4116667,31.9156679805
window cleaner,56245.8488889,72280.35125,28.5078857869
window cleaner supervisor,68160.8,80074.53,17.4788588162
worker's compensation adjuster,73943.9580952,70636.4553846,-4.47298575275
x-ray laboratory aide,52705.8803846,51211.5668571,-2.83519318256
